frame,safety
0000000000.png,0
0000000001.png,0
0000000002.png,0
0000000003.png,0
0000000004.png,0
0000000005.png,0
0000000006.png,0
0000000007.png,0
0000000008.png,0
0000000009.png,0
0000000010.png,0
0000000011.png,0
0000000012.png,0
0000000013.png,0
0000000014.png,0
0000000015.png,0
0000000016.png,0
0000000017.png,0
0000000018.png,0
0000000019.png,0
0000000020.png,0
0000000021.png,0
0000000022.png,0
0000000023.png,0
0000000024.png,0
0000000025.png,0
0000000026.png,0
0000000027.png,0
0000000028.png,0
0000000029.png,0
0000000030.png,0
0000000031.png,0
0000000032.png,0
0000000033.png,0
0000000034.png,0
0000000035.png,0
0000000036.png,0
0000000037.png,0
0000000038.png,0
0000000039.png,0
0000000040.png,0
0000000041.png,0
0000000042.png,0
0000000043.png,0
0000000044.png,0
0000000045.png,0
0000000046.png,0
0000000047.png,0
0000000048.png,0
0000000049.png,0
0000000050.png,0
0000000051.png,0
0000000052.png,0
0000000053.png,0
0000000054.png,0
0000000055.png,1
0000000056.png,1
0000000057.png,1
0000000058.png,1
0000000059.png,1
0000000060.png,1
0000000061.png,1
0000000062.png,1
0000000063.png,1
0000000064.png,1
0000000065.png,1
0000000066.png,1
0000000067.png,1
0000000068.png,1
0000000069.png,1
0000000070.png,1
0000000071.png,1
0000000072.png,1
0000000073.png,1
0000000074.png,1
0000000075.png,1
0000000076.png,1
0000000077.png,1
0000000078.png,1
0000000079.png,1
0000000080.png,1
0000000081.png,1
0000000082.png,1
0000000083.png,1
0000000084.png,1
0000000085.png,1
0000000086.png,1
0000000087.png,1
0000000088.png,1
0000000089.png,1
0000000090.png,1
0000000091.png,1
0000000092.png,1